subsystem,code,lang,short_message,user_hint,operation
3,0X010A,da,Hardwarefejl,Fejl ved ergonomisk justering,Klik på FJERN for at gendanne
9,0X010A,da,Hardwarefejl,Fejl ved ergonomisk justering,Klik på FJERN for at gendanne
1,0X010A,da,Hardwarefejl,Overskrider grænsen for bevægelsesafvigelse,Klik på FJERN for at gendanne
1,0X490E,da,,,
8,0X010A,da,Hardwarefejl,Overskrider grænsen for bevægelsesafvigelse,Klik på FJERN for at gendanne
9,0X010D,da,Fejl ved ergonomisk justering,Fejl ved ergonomisk justering,
3,0X010D,da,Fejl ved ergonomisk justering,Fejl ved ergonomisk justering,
1,0X010D,da,Overskrider grænsen for bevægelsesafvigelse,Overskrider grænsen for bevægelsesafvigelse,Kontakt venligst kundeservice
8,0X010D,da,Overskrider grænsen for bevægelsesafvigelse,Overskrider grænsen for bevægelsesafvigelse,Kontakt venligst kundeservice
1,0X020A,da,Unormal bevægelse,Overskrider grænsen for bevægelsesafvigelse,Klik på FJERN for at gendanne
8,0X020A,da,Unormal bevægelse,Overskrider grænsen for bevægelsesafvigelse,Klik på FJERN for at gendanne
1,0X020C,da,Uventet bevægelse,Overskrider grænsen for bevægelsesafvigelse,Ignorerbar
8,0X020C,da,Uventet bevægelse,Overskrider grænsen for bevægelsesafvigelse,Ignorerbar
1,0X020D,da,Overskrider grænsen for bevægelsesafvigelse,Overskrider grænsen for bevægelsesafvigelse,Opmærksomhed
8,0X020D,da,Overskrider grænsen for bevægelsesafvigelse,Overskrider grænsen for bevægelsesafvigelse,Opmærksomhed
1,0X022A,da,Unormal drift,Uventet bevægelse af slavearm,Klik på FJERN for at gendanne
8,0X022A,da,Unormal drift,Uventet bevægelse af slavearm,Klik på FJERN for at gendanne
3,0X022C,da,Uventet bevægelse,Uventet bevægelse under ergonomisk justering,Ignorerbar
9,0X022C,da,Uventet bevægelse,Uventet bevægelse under ergonomisk justering,Ignorerbar
1,0X022C,da,Uventet bevægelse,Uventet bevægelse af masterarm,Ignorerbar
8,0X022C,da,Uventet bevægelse,Uventet bevægelse af masterarm,Ignorerbar
9,0X022D,da,Uventet bevægelse under ergonomisk justering,Uventet bevægelse under ergonomisk justering,
3,0X022D,da,Uventet bevægelse under ergonomisk justering,Uventet bevægelse under ergonomisk justering,
1,0X030A,da,Hardwarefejl,Overskrider positionsgrænsen,Klik på FJERN for at gendanne
8,0X030A,da,Hardwarefejl,Overskrider positionsgrænsen,Klik på FJERN for at gendanne
1,0X030B,da,Hardwarefejl,Overskrider positionsgrænsen,Klik på FJERN for at gendanne
8,0X030B,da,Hardwarefejl,Overskrider positionsgrænsen,Klik på FJERN for at gendanne
3,0X030C,da,Overskrider den ergonomiske positionsgrænse,Overskrider den ergonomiske positionsgrænse,
9,0X030C,da,Overskrider den ergonomiske positionsgrænse,Overskrider den ergonomiske positionsgrænse,
3,0X030D,da,Overskrider den ergonomiske positionsgrænse,Overskrider den ergonomiske positionsgrænse,
9,0X030D,da,Overskrider den ergonomiske positionsgrænse,Overskrider den ergonomiske positionsgrænse,
1,0X030D,da,Overskrider positionsgrænsen,Overskrider positionsgrænsen,Flyt venligst tilbage
8,0X030D,da,Overskrider positionsgrænsen,Overskrider positionsgrænsen,Flyt venligst tilbage
1,0X031A,da,Unormal bevægelse,Falske styredata,Klik på FJERN for at gendanne
8,0X031A,da,Unormal bevægelse,Falske styredata,Klik på FJERN for at gendanne
1,0X031B,da,Unormal bevægelse,Falske styredata,Klik på FJERN for at gendanne
