subsystem,code,lang,short_message,user_hint,operation
3,0X010A,nl,Hardwarefout,Ergonomische aanpassingsfout,Klik op VERWIJDEREN om te herstellen
9,0X010A,nl,Hardwarefout,Ergonomische aanpassingsfout,Klik op VERWIJDEREN om te herstellen
1,0X010A,nl,Hardwarefout,Bewegingafwijking overschreden,Klik op VERWIJDEREN om te herstellen
1,0X490E,nl,,,
8,0X010A,nl,Hardwarefout,Bewegingafwijking overschreden,Klik op VERWIJDEREN om te herstellen
9,0X010D,nl,Ergonomische aanpassingsfout,Ergonomische aanpassingsfout,
3,0X010D,nl,Ergonomische aanpassingsfout,Ergonomische aanpassingsfout,
1,0X010D,nl,Bewegingafwijking overschreden,Bewegingafwijking overschreden,Contacteer klantenservice
8,0X010D,nl,Bewegingafwijking overschreden,Bewegingafwijking overschreden,Contacteer klantenservice
1,0X020A,nl,Abnormale beweging,Bewegingafwijking overschreden,Klik op VERWIJDEREN om te herstellen
8,0X020A,nl,Abnormale beweging,Bewegingafwijking overschreden,Klik op VERWIJDEREN om te herstellen
1,0X020C,nl,Onverwachte beweging,Bewegingafwijking overschreden,Genegeerd
8,0X020C,nl,Onverwachte beweging,Bewegingafwijking overschreden,Genegeerd
1,0X020D,nl,Bewegingafwijking overschreden,Bewegingafwijking overschreden,Opgelet
8,0X020D,nl,Bewegingafwijking overschreden,Bewegingafwijking overschreden,Opgelet
1,0X022A,nl,Abnormale werking,Onverwachte beweging van slaaf arm,Klik op VERWIJDEREN om te herstellen
8,0X022A,nl,Abnormale werking,Onverwachte beweging van slaaf arm,Klik op VERWIJDEREN om te herstellen
3,0X022C,nl,Onverwachte beweging,Onverwachte beweging bij ergonomische aanpassing,Genegeerd
9,0X022C,nl,Onverwachte beweging,Onverwachte beweging bij ergonomische aanpassing,Genegeerd
1,0X022C,nl,Onverwachte beweging,Onverwachte beweging van hoofd arm,Genegeerd
8,0X022C,nl,Onverwachte beweging,Onverwachte beweging van hoofd arm,Genegeerd
9,0X022D,nl,Onverwachte beweging bij ergonomische aanpassing,Onverwachte beweging bij ergonomische aanpassing,
3,0X022D,nl,Onverwachte beweging bij ergonomische aanpassing,Onverwachte beweging bij ergonomische aanpassing,
1,0X030A,nl,Hardwarefout,Positiegrens overschreden,Klik op VERWIJDEREN om te herstellen
8,0X030A,nl,Hardwarefout,Positiegrens overschreden,Klik op VERWIJDEREN om te herstellen
1,0X030B,nl,Hardwarefout,Positiegrens overschreden,Klik op VERWIJDEREN om te herstellen
8,0X030B,nl,Hardwarefout,Positiegrens overschreden,Klik op VERWIJDEREN om te herstellen
3,0X030C,nl,Ergonomische positiegrens overschreden,Ergonomische positiegrens overschreden,
9,0X030C,nl,Ergonomische positiegrens overschreden,Ergonomische positiegrens overschreden,
3,0X030D,nl,Ergonomische positiegrens overschreden,Ergonomische positiegrens overschreden,
9,0X030D,nl,Ergonomische positiegrens overschreden,Ergonomische positiegrens overschreden,
