subsystem,code,lang,short_message,user_hint,operation
3,0X010A,ro,Defecțiune hardware,Defect de reglare ergonomică,Faceți clic pe ELIMINARE pentru a restaura
9,0X010A,ro,Defecțiune hardware,Defect de reglare ergonomică,Faceți clic pe ELIMINARE pentru a restaura
1,0X010A,ro,Defecțiune hardware,Depășiți limita de abatere a mișcării,Faceți clic pe ELIMINARE pentru a restaura
1,0X490E,ro,,,
8,0X010A,ro,Defecțiune hardware,Depășiți limita de abatere a mișcării,Faceți clic pe ELIMINARE pentru a restaura
9,0X010D,ro,Defect de reglare ergonomică,Defect de reglare ergonomică,
3,0X010D,ro,Defect de reglare ergonomică,Defect de reglare ergonomică,
1,0X010D,ro,Depășiți limita de abatere a mișcării,Depășiți limita de abatere a mișcării,Vă rugăm să contactați serviciul clienți
8,0X010D,ro,Depășiți limita de abatere a mișcării,Depășiți limita de abatere a mișcării,Vă rugăm să contactați serviciul clienți
1,0X020A,ro,Mișcare anormală,Depășiți limita de abatere a mișcării,Faceți clic pe ELIMINARE pentru a restaura
8,0X020A,ro,Mișcare anormală,Depășiți limita de abatere a mișcării,Faceți clic pe ELIMINARE pentru a restaura
1,0X020C,ro,Mișcare neașteptată,Depășiți limita de abatere a mișcării,Ignorabil
8,0X020C,ro,Mișcare neașteptată,Depășiți limita de abatere a mișcării,Ignorabil
1,0X020D,ro,Depășiți limita de abatere a mișcării,Depășiți limita de abatere a mișcării,atenție
8,0X020D,ro,Depășiți limita de abatere a mișcării,Depășiți limita de abatere a mișcării,atenție
1,0X022A,ro,Funcționare anormală,Mișcarea neașteptată a brațului sclavului,Faceți clic pe ELIMINARE pentru a restaura
8,0X022A,ro,Funcționare anormală,Mișcarea neașteptată a brațului sclavului,Faceți clic pe ELIMINARE pentru a restaura
3,0X022C,ro,Mișcare neașteptată,Mișcare neașteptată în timpul reglarii ergonomice,Ignorabil
9,0X022C,ro,Mișcare neașteptată,Mișcare neașteptată în timpul reglarii ergonomice,Ignorabil
1,0X022C,ro,Mișcare neașteptată,mișcarea neașteptată a brațului principal,Ignorabil
8,0X022C,ro,Mișcare neașteptată,mișcarea neașteptată a brațului principal,Ignorabil
9,0X022D,ro,Mișcare neașteptată în timpul reglarii ergonomice,Mișcare neașteptată în timpul reglarii ergonomice,
3,0X022D,ro,Mișcare neașteptată în timpul reglarii ergonomice,Mișcare neașteptată în timpul reglarii ergonomice,
1,0X030A,ro,Defecțiune hardware,Depășirea limitei de poziție,Faceți clic pe ELIMINARE pentru a restaura
8,0X030A,ro,Defecțiune hardware,Depășirea limitei de poziție,Faceți clic pe ELIMINARE pentru a restaura
1,0X030B,ro,Defecțiune hardware,Depășirea limitei de poziție,Faceți clic pe ELIMINARE pentru a restaura
8,0X030B,ro,Defecțiune hardware,Depășirea limitei de poziție,Faceți clic pe ELIMINARE pentru a restaura
3,0X030C,ro,Depășiți limita de poziție ergonomică,Depășiți limita de poziție ergonomică,
9,0X030C,ro,Depășiți limita de poziție ergonomică,Depășiți limita de poziție ergonomică,
3,0X030D,ro,Depășiți limita de poziție ergonomică,Depășiți limita de poziție ergonomică,
9,0X030D,ro,Depășiți limita de poziție ergonomică,Depășiți limita de poziție ergonomică,
1,0X030D,ro,Depășirea limitei de poziție,Depășirea limitei de poziție,Vă rugăm să vă mutați înapoi
8,0X030D,ro,Depășirea limitei de poziție,Depășirea limitei de poziție,Vă rugăm să vă mutați înapoi
1,0X031A,ro,Mișcare anormală,Date de control false,Faceți clic pe ELIMINARE pentru a restaura
