subsystem,code,lang,short_message,user_hint,operation
3,0X010A,sk,Chyba hardvéru,Chyba ergonomického nastavenia,Kliknutím na ODSTRÁNIŤ obnovíte
9,0X010A,sk,Chyba hardvéru,Chyba ergonomického nastavenia,Kliknutím na ODSTRÁNIŤ obnovíte
1,0X010A,sk,Chyba hardvéru,Prekročenie limitu odchýlky pohybu,Kliknutím na ODSTRÁNIŤ obnovíte
1,0X490E,sk,,,
8,0X010A,sk,Chyba hardvéru,Prekročenie limitu odchýlky pohybu,Kliknutím na ODSTRÁNIŤ obnovíte
9,0X010D,sk,Chyba ergonomického nastavenia,Chyba ergonomického nastavenia,
3,0X010D,sk,Chyba ergonomického nastavenia,Chyba ergonomického nastavenia,
1,0X010D,sk,Prekročenie limitu odchýlky pohybu,Prekročenie limitu odchýlky pohybu,Kontaktujte zákaznícky servis
8,0X010D,sk,Prekročenie limitu odchýlky pohybu,Prekročenie limitu odchýlky pohybu,Kontaktujte zákaznícky servis
1,0X020A,sk,Abnormálny pohyb,Prekročenie limitu odchýlky pohybu,Kliknutím na ODSTRÁNIŤ obnovíte
8,0X020A,sk,Abnormálny pohyb,Prekročenie limitu odchýlky pohybu,Kliknutím na ODSTRÁNIŤ obnovíte
1,0X020C,sk,Neočakávaný pohyb,Prekročenie limitu odchýlky pohybu,Ignorovateľné
8,0X020C,sk,Neočakávaný pohyb,Prekročenie limitu odchýlky pohybu,Ignorovateľné
1,0X020D,sk,Prekročenie limitu odchýlky pohybu,Prekročenie limitu odchýlky pohybu,pozornosť
8,0X020D,sk,Prekročenie limitu odchýlky pohybu,Prekročenie limitu odchýlky pohybu,pozornosť
1,0X022A,sk,Abnormálna prevádzka,Neočakávaný pohyb podriadeného ramena,Kliknutím na ODSTRÁNIŤ obnovíte
8,0X022A,sk,Abnormálna prevádzka,Neočakávaný pohyb podriadeného ramena,Kliknutím na ODSTRÁNIŤ obnovíte
3,0X022C,sk,Neočakávaný pohyb,Neočakávaný pohyb pri ergonomickom nastavení,Ignorovateľné
