subsystem,code,is_axis_error,is_arm_error,short_message,short_message_en,user_hint,user_hint_en,operation,operation_en,detail,method,param1,param2,param3,param4,solution,for_expert,for_novice,related_log,stop_report,level,tech_solution,explanation,category
3,0X010A,TRUE,FALSE,硬件异常,Hardware fault,人机位置调整异常,Ergonomic adjustment fault,请点击“解除”恢复,Click REMOVE to restore,双码盘偏差超限,读取每个关节电机码盘计算位置值和绝对码盘计算的位置值，其偏差超过阈值则进行报警,医生台车状态机,绝对码盘位置,电机码盘位置,0,recoverable,TRUE,TRUE,FALSE,,高级,,双码盘偏差超限报警时，医生台车状态为{0:4}，绝对码盘位置0.{1:0}，电机码盘位置0.{2:0},硬件
9,0X010A,TRUE,FALSE,硬件异常,Hardware fault,人机位置调整异常,Ergonomic adjustment fault,请点击“解除”恢复,Click REMOVE to restore,双码盘偏差超限,读取每个关节电机码盘计算位置值和绝对码盘计算的位置值，其偏差超过阈值则进行报警,医生台车状态机,绝对码盘位置,电机码盘位置,0,recoverable,TRUE,TRUE,FALSE,,高级,,双码盘偏差超限报警时，医生台车状态为{0:4}，绝对码盘位置{1:0}，电机码盘位置{2:0},硬件
1,0X010A,TRUE,FALSE,硬件异常,Hardware fault,运动偏差,Exceed the motion deviation limit,请点击“解除”恢复,Click REMOVE to restore,双码盘偏差超限,监测每个关节电机码盘计算位置值和绝对码盘计算的位置值，其偏差持续1.25ms超过阈值则进行报警,电机码盘位置,绝对码盘位置,实际速度,实际力矩,recoverable,TRUE,TRUE,FALSE,,高级,,双码盘偏差超限报警时，电机码盘位置{0:0}，绝对码盘位置{1:0}，实际速度{2:0}，实际力矩{3:0},硬件
1,0X490E,FALSE,FALSE,Take/Give按键指令日志记录,Take/Live key command logging,Take/Give按键指令日志记录,Take/Live key command logging,,,记录交互软件中“让出”、“获取”按钮日志,记录交互软件中“让出”、“获取”按钮日志,本地端让出按钮,本地端获取按钮,远程端让出按钮,远程端获取按钮,log,TRUE,TRUE,FALSE,,无,,本地端让出按钮{0:16}按下，本地端获取按钮{1:16}按下，远程端让出按钮{2:16}按下，远程端获取按钮{3:16}按下,日志记录
8,0X010A,TRUE,FALSE,硬件异常,Hardware fault,运动偏差,Exceed the motion deviation limit,请点击“解除”恢复,Click REMOVE to restore,双码盘偏差超限,监测每个关节电机码盘计算位置值和绝对码盘计算的位置值，其偏差持续1.25ms超过阈值则进行报警,电机码盘位置,绝对码盘位置,实际速度,实际力矩,recoverable,TRUE,TRUE,FALSE,,高级,,双码盘偏差超限报警时，电机码盘位置{0:0}，绝对码盘位置{1:0}，实际速度{2:0}，实际力矩{3:0},硬件
9,0X010D,TRUE,FALSE,人机位置调整异常,Ergonomic adjustment fault,人机位置异常,Ergonomic adjustment fault,,,双码盘偏差超限,自检后医生台车故障由A类故障降级为D类提示，读取每个关节电机码盘计算位置值和绝对码盘计算的位置值，其偏差超过阈值则进行提示,医生台车状态机,绝对码盘位置,电机码盘位置,0,tip,TRUE,TRUE,FALSE,,无,,双码盘偏差超限报警时，医生台车状态机为{0:4}，绝对码盘位置{1:0}，电机码盘位置{2:0},硬件
3,0X010D,TRUE,FALSE,人机位置异常,Ergonomic adjustment fault,人机位置异常,Ergonomic adjustment fault,,,双码盘偏差超限,自检后医生台车故障由A类故障降级为D类提示，读取每个关节电机码盘计算位置值和绝对码盘计算的位置值，其偏差超过阈值则进行提示,医生台车状态机,绝对码盘位置,电机码盘位置,0,tip,TRUE,TRUE,FALSE,,无,,双码盘偏差超限报警时，医生台车状态机为{0:4}，绝对码盘位置{1:0}，电机码盘位置{2:0},硬件
1,0X010D,FALSE,FALSE,运动偏差,Exceed the motion deviation limit,运动偏差,Exceed the motion deviation limit,请联系售后,Please contact customer service,双码盘偏差超限,监测每个关节增量式码盘计算的位置值和绝对码盘计算的位置值，其偏差持续1.25ms超过阈值则进行提示,电机码盘位置,绝对码盘位置,实际速度,实际力矩,tip,TRUE,TRUE,FALSE,,无,,双码盘偏差超限报警时，电机码盘位置{0:0}，绝对码盘位置{1:0}，实际速度{2:0}，实际力矩{3:0},硬件
8,0X010D,FALSE,FALSE,运动偏差,Exceed the motion deviation limit,运动偏差,Exceed the motion deviation limit,请联系售后,Please contact customer service,双码盘偏差超限,监测每个关节增量式码盘计算的位置值和绝对码盘计算的位置值，其偏差持续1.25ms超过阈值则进行提示,电机码盘位置,绝对码盘位置,实际速度,实际力矩,tip,TRUE,TRUE,FALSE,,无,,双码盘偏差超限报警时，电机码盘位置{0:0}，绝对码盘位置{1:0}，实际速度{2:0}，实际力矩{3:0},硬件
1,0X020A,TRUE,FALSE,运动异常,Abnormal movement,运动偏差,Exceed the motion deviation limit,请点击“解除”恢复,Click REMOVE to restore,期望位置偏差超限,监测每个关节期望位置和实际位置，若期望位置与实际位置偏差超过阈值持续2ms则进行报警,指令位置,实际位置,指令速度,实际速度,recoverable,TRUE,TRUE,FALSE,,高级,,期望位置偏差超限报警时，指令位置{0:0}，实际位置{1:0}，指令速度{2:0}，实际速度{3:0},安全保护
8,0X020A,TRUE,FALSE,运动异常,Abnormal movement,运动偏差,Exceed the motion deviation limit,请点击“解除”恢复,Click REMOVE to restore,期望位置偏差超限,监测每个关节期望位置和实际位置，若期望位置与实际位置偏差超过阈值持续2ms则进行报警,指令位置,实际位置,指令速度,实际速度,recoverable,TRUE,TRUE,FALSE,,高级,,期望位置偏差超限报警时，指令位置{0:0}，实际位置{1:0}，指令速度{2:0}，实际速度{3:0},安全保护
