subsystem,code,lang,short_message,user_hint,operation
3,0X010A,fr,Défaut matériel,Défaut d'ajustement ergonomique,Cliquer sur REMOVE pour restaurer
9,0X010A,fr,Défaut matériel,Défaut d'ajustement ergonomique,Cliquer sur REMOVE pour restaurer
1,0X010A,fr,Défaut matériel,Dépasser la limite d'écart de mouvement,Cliquer sur REMOVE pour restaurer
1,0X490E,fr,,,
8,0X010A,fr,Défaut matériel,Dépasser la limite d'écart de mouvement,Cliquer sur REMOVE pour restaurer
9,0X010D,fr,Défaut d'ajustement ergonomique,Défaut d'ajustement ergonomique,
3,0X010D,fr,Défaut d'ajustement ergonomique,Défaut d'ajustement ergonomique,
1,0X010D,fr,Dépasser la limite d'écart de mouvement,Dépasser la limite d'écart de mouvement,Veuillez contacter le service à la clientèle
8,0X010D,fr,Dépasser la limite d'écart de mouvement,Dépasser la limite d'écart de mouvement,Veuillez contacter le service à la clientèle
1,0X020A,fr,Mouvement anormal,Dépasser la limite d'écart de mouvement,Cliquer sur REMOVE pour restaurer
8,0X020A,fr,Mouvement anormal,Dépasser la limite d'écart de mouvement,Cliquer sur REMOVE pour restaurer
1,0X020C,fr,Mouvement inattendu,Dépasser la limite d'écart de mouvement,Ignorable
8,0X020C,fr,Mouvement inattendu,Dépasser la limite d'écart de mouvement,Ignorable
1,0X020D,fr,Dépasser la limite d'écart de mouvement,Dépasser la limite d'écart de mouvement,Attention
8,0X020D,fr,Dépasser la limite d'écart de mouvement,Dépasser la limite d'écart de mouvement,Attention
1,0X022A,fr,Fonctionnement anormal,Mouvement inattendu du bras d'esclave,Cliquer sur REMOVE pour restaurer
8,0X022A,fr,Fonctionnement anormal,Mouvement inattendu du bras d'esclave,Cliquer sur REMOVE pour restaurer
3,0X022C,fr,Mouvement inattendu,Mouvement inattendu lors de l'ajustement ergonomique,Ignorable
9,0X022C,fr,Mouvement inattendu,Mouvement inattendu lors de l'ajustement ergonomique,Ignorable
1,0X022C,fr,Mouvement inattendu,Mouvement inattendu du bras maître,Ignorable
8,0X022C,fr,Mouvement inattendu,Mouvement inattendu du bras maître,Ignorable
9,0X022D,fr,Mouvement inattendu lors de l'ajustement ergonomique,Mouvement inattendu lors de l'ajustement ergonomique,
3,0X022D,fr,Mouvement inattendu lors de l'ajustement ergonomique,Mouvement inattendu lors de l'ajustement ergonomique,
1,0X030A,fr,Défaut matériel,Dépasser la limite de position,Cliquer sur REMOVE pour restaurer
8,0X030A,fr,Défaut matériel,Dépasser la limite de position,Cliquer sur REMOVE pour restaurer
1,0X030B,fr,Défaut matériel,Dépasser la limite de position,Cliquer sur REMOVE pour restaurer
8,0X030B,fr,Défaut matériel,Dépasser la limite de position,Cliquer sur REMOVE pour restaurer
3,0X030C,fr,Dépasser la limite de la position ergonomique,Dépasser la limite de la position ergonomique,
9,0X030C,fr,Dépasser la limite de la position ergonomique,Dépasser la limite de la position ergonomique,
3,0X030D,fr,Dépasser la limite de la position ergonomique,Dépasser la limite de la position ergonomique,
9,0X030D,fr,Dépasser la limite de la position ergonomique,Dépasser la limite de la position ergonomique,
1,0X030D,fr,Dépasser la limite de position,Dépasser la limite de position,Veuillez reculer
8,0X030D,fr,Dépasser la limite de position,Dépasser la limite de position,Veuillez reculer
1,0X031A,fr,Mouvement anormal,Données de contrôle erronées,Cliquer sur REMOVE pour restaurer
8,0X031A,fr,Mouvement anormal,Données de contrôle erronées,Cliquer sur REMOVE pour restaurer
1,0X031B,fr,Mouvement anormal,Données de contrôle erronées,Cliquer sur REMOVE pour restaurer
