subsystem,code,lang,short_message,user_hint,operation
3,0X010A,it,Faglia di hardware,Faglia diregolazione ergonomico,Fare clic su REMOVA per ripristinare
9,0X010A,it,Faglia di hardware,Faglia diregolazione ergonomico,Fare clic su REMOVA per ripristinare
1,0X010A,it,Faglia di hardware,Superare il limite di deviazione di movimento,Fare clic su REMOVA per ripristinare
1,0X490E,it,,,
8,0X010A,it,Faglia di hardware,Superare il limite di deviazione di movimento,Fare clic su REMOVA per ripristinare
9,0X010D,it,Faglia diregolazione ergonomico,Faglia diregolazione ergonomico,
3,0X010D,it,Faglia diregolazione ergonomico,Faglia diregolazione ergonomico,
1,0X010D,it,Superare il limite di deviazione di movimento,Superare il limite di deviazione di movimento,Si prega di contattare il servizio clienti
8,0X010D,it,Superare il limite di deviazione di movimento,Superare il limite di deviazione di movimento,Si prega di contattare il servizio clienti
1,0X020A,it,Movimento anormaleanormale,Superare il limite di deviazione di movimento,Fare clic su REMOVA per ripristinare
8,0X020A,it,Movimento anormaleanormale,Superare il limite di deviazione di movimento,Fare clic su REMOVA per ripristinare
1,0X020C,it,Movimento inaspettato,Superare il limite di deviazione di movimento,Ignorabile
8,0X020C,it,Movimento inaspettato,Superare il limite di deviazione di movimento,Ignorabile
1,0X020D,it,Superare il limite di deviazione di movimento,Superare il limite di deviazione di movimento,Attenzione
8,0X020D,it,Superare il limite di deviazione di movimento,Superare il limite di deviazione di movimento,Attenzione
1,0X022A,it,Funzionamento anormale,Moto inatteso del braccio schiavo,Fare clic su REMOVA per ripristinare
8,0X022A,it,Funzionamento anormale,Moto inatteso del braccio schiavo,Fare clic su REMOVA per ripristinare
3,0X022C,it,Movimento inaspettato,Movimento inaspettato durante la regolazione ergonomica,Ignorabile
9,0X022C,it,Movimento inaspettato,Movimento inaspettato durante la regolazione ergonomica,Ignorabile
1,0X022C,it,Movimento inaspettato,Movimento inaspettato del braccio principale,Ignorabile
8,0X022C,it,Movimento inaspettato,Movimento inaspettato del braccio principale,Ignorabile
9,0X022D,it,Movimento inaspettato durante la regolazione ergonomica,Movimento inaspettato durante la regolazione ergonomica,
3,0X022D,it,Movimento inaspettato durante la regolazione ergonomica,Movimento inaspettato durante la regolazione ergonomica,
1,0X030A,it,Faglia di hardware,Superare il limite di posizione,Fare clic su REMOVA per ripristinare
8,0X030A,it,Faglia di hardware,Superare il limite di posizione,Fare clic su REMOVA per ripristinare
1,0X030B,it,Faglia di hardware,Superare il limite di posizione,Fare clic su REMOVA per ripristinare
8,0X030B,it,Faglia di hardware,Superare il limite di posizione,Fare clic su REMOVA per ripristinare
3,0X030C,it,Superare il limite di posizione ergonomica,Superare il limite di posizione ergonomica,
9,0X030C,it,Superare il limite di posizione ergonomica,Superare il limite di posizione ergonomica,
3,0X030D,it,Superare il limite di posizione ergonomica,Superare il limite di posizione ergonomica,
9,0X030D,it,Superare il limite di posizione ergonomica,Superare il limite di posizione ergonomica,
1,0X030D,it,Superare il limite di posizione,Superare il limite di posizione,Spostare indietro
8,0X030D,it,Superare il limite di posizione,Superare il limite di posizione,Spostare indietro
1,0X031A,it,Movimento anormaleanormale,Dati di controllo falsi,Fare clic su REMOVA per ripristinare
8,0X031A,it,Movimento anormaleanormale,Dati di controllo falsi,Fare clic su REMOVA per ripristinare
1,0X031B,it,Movimento anormaleanormale,Dati di controllo falsi,Fare clic su REMOVA per ripristinare
8,0X031B,it,Movimento anormaleanormale,Dati di controllo falsi,Fare clic su REMOVA per ripristinare
1,0X040B,it,Funzionamento troppo rapido,Superare il limite di deviazione di movimento,Fare clic su REMOVA per ripristinare
8,0X040B,it,Funzionamento troppo rapido,Superare il limite di deviazione di movimento,Fare clic su REMOVA per ripristinare
1,0X050B,it,Funzionamento troppo rapido,Oltre il limite di velocit¨¤,Fare clic su REMOVA per ripristinare
8,0X050B,it,Funzionamento troppo rapido,Oltre il limite di velocit¨¤,Fare clic su REMOVA per ripristinare
3,0X050D,it,Movimento anormaleanormale,Movimento anormaleanormale,
9,0X050D,it,Movimento anormaleanormale,Movimento anormaleanormale,
1,0X051B,it,Funzionamento troppo rapido,Dati di controllo falsi,Fare clic su REMOVA per ripristinare
8,0X051B,it,Funzionamento troppo rapido,Dati di controllo falsi,Fare clic su REMOVA per ripristinare
1,0X060B,it,Faglia di hardware,Superare il limite di posizione,Fare clic su REMOVA per ripristinare
8,0X060B,it,Faglia di hardware,Superare il limite di posizione,Fare clic su REMOVA per ripristinare
1,0X061A,it,Funzionamento anormale,Movimento inaspettato,Fare clic su REMOVA per ripristinare
8,0X061A,it,Funzionamento anormale,Movimento inaspettato,Fare clic su REMOVA per ripristinare
