subsystem,code,lang,short_message,user_hint,operation
3,0X010A,pt,Falha de hardware,Falha de ajuste ergonômico,Clique em REMOVER para restaurar
9,0X010A,pt,Falha de hardware,Falha de ajuste ergonômico,Clique em REMOVER para restaurar
1,0X010A,pt,Falha de hardware,Exceder o limite de desvio de movimento,Clique em REMOVER para restaurar
1,0X490E,pt,,,
8,0X010A,pt,Falha de hardware,Exceder o limite de desvio de movimento,Clique em REMOVER para restaurar
9,0X010D,pt,Falha de ajuste ergonômico,Falha de ajuste ergonômico,
3,0X010D,pt,Falha de ajuste ergonômico,Falha de ajuste ergonômico,
1,0X010D,pt,Exceder o limite de desvio de movimento,Exceder o limite de desvio de movimento,Entre em contato com o atendimento ao cliente
8,0X010D,pt,Exceder o limite de desvio de movimento,Exceder o limite de desvio de movimento,Entre em contato com o atendimento ao cliente
1,0X020A,pt,Movimentos anormais,Exceder o limite de desvio de movimento,Clique em REMOVER para restaurar
8,0X020A,pt,Movimentos anormais,Exceder o limite de desvio de movimento,Clique em REMOVER para restaurar
1,0X020C,pt,Movimento inesperado,Exceder o limite de desvio de movimento,Ignorante
8,0X020C,pt,Movimento inesperado,Exceder o limite de desvio de movimento,Ignorante
1,0X020D,pt,Exceder o limite de desvio de movimento,Exceder o limite de desvio de movimento,atenção
8,0X020D,pt,Exceder o limite de desvio de movimento,Exceder o limite de desvio de movimento,atenção
1,0X022A,pt,Operação anormal,Movimento inesperado do braço escravo,Clique em REMOVER para restaurar
8,0X022A,pt,Operação anormal,Movimento inesperado do braço escravo,Clique em REMOVER para restaurar
3,0X022C,pt,Movimento inesperado,Movimento inesperado durante o ajuste ergonómico,Ignorante
9,0X022C,pt,Movimento inesperado,Movimento inesperado durante o ajuste ergonómico,Ignorante
1,0X022C,pt,Movimento inesperado,movimento inesperado do braço mestre,Ignorante
8,0X022C,pt,Movimento inesperado,movimento inesperado do braço mestre,Ignorante
9,0X022D,pt,Movimento inesperado durante o ajuste ergonómico,Movimento inesperado durante o ajuste ergonómico,
3,0X022D,pt,Movimento inesperado durante o ajuste ergonómico,Movimento inesperado durante o ajuste ergonómico,
1,0X030A,pt,Falha de hardware,Exceder o limite de posição,Clique em REMOVER para restaurar
8,0X030A,pt,Falha de hardware,Exceder o limite de posição,Clique em REMOVER para restaurar
1,0X030B,pt,Falha de hardware,Exceder o limite de posição,Clique em REMOVER para restaurar
8,0X030B,pt,Falha de hardware,Exceder o limite de posição,Clique em REMOVER para restaurar
3,0X030C,pt,Exceder o limite de posição ergonómico,Exceder o limite de posição ergonómico,
9,0X030C,pt,Exceder o limite de posição ergonómico,Exceder o limite de posição ergonómico,
3,0X030D,pt,Exceder o limite de posição ergonómico,Exceder o limite de posição ergonómico,
9,0X030D,pt,Exceder o limite de posição ergonómico,Exceder o limite de posição ergonómico,
1,0X030D,pt,Exceder o limite de posição,Exceder o limite de posição,Por favor, volte atrás
8,0X030D,pt,Exceder o limite de posição,Exceder o limite de posição,Por favor, volte atrás
